GEOID,max_intensity,population,Total_Num_Building,BHI_factor_low,shelter_seeking_low,numerator_low,SVI_Value,SVI_Value_Mapped
6097150609,0.06,4988,1465.0,0.0495,74.04527999999999,3.82,0.6413,0.3
6055201401,0.38,2709,2403.0,0.0824,66.94146,10.59,0.3138,0.3
6055201102,0.6,1811,1482.0,0.1206,65.52435,9.58,0.5508,0.3
6097151308,0.06,4870,1483.0,0.0397,58.07088,3.11,0.5315,0.3
6097151306,0.06,3795,821.0,0.0505,57.53949,2.19,0.5625,0.3
6097151301,0.06,4467,908.0,0.0233,52.12905,1.12,0.8886,0.5
6013359105,0.1,5276,1265.0,0.0316,50.08599,2.11,0.3009,0.3
6055201602,0.1,3169,1686.0,0.0525,49.928760000000004,4.69,0.4904,0.3
6013314200,0.06,7168,1886.0,0.0133,47.7995,1.32,0.9242,0.5
6095252402,0.08,5419,1512.0,0.0167,45.2604,1.33,0.9468,0.5
6013359204,0.1,4711,1520.0,0.0319,45.03786,2.55,0.4492,0.3
6095250605,0.2,4012,1292.0,0.1098,44.046690000000005,7.48,0.1782,0.1
6095252106,0.1,4122,1169.0,0.0326,40.27845,2.0,0.3651,0.3
6013356001,0.22,3908,1213.0,0.0321,37.61157,2.05,0.6905,0.3
6097150303,0.16,4013,3114.0,0.0306,36.8967,5.03,0.2828,0.3
6095252312,0.06,3443,946.0,0.0357,36.87081,1.78,0.6827,0.3
6013316000,0.1,1605,252.0,0.0449,36.05545,0.6,0.8546,0.5
6095252606,0.06,5423,1159.0,0.0131,35.5889,0.8,0.9762,0.5
6095252000,0.14,4361,1676.0,0.026,34.00173,2.3,0.4288,0.3
6097151311,0.06,6792,1410.0,0.016,32.53704,1.19,0.2008,0.3
6013357000,0.26,3202,1067.0,0.0335,32.15649,1.88,0.3163,0.3
6055201402,0.36,2762,2038.0,0.1108,30.59483,11.91,0.1053,0.1
6097153003,0.04,5834,1302.0,0.0103,30.14105,0.71,0.9141,0.5
6055201601,0.12,2261,1002.0,0.0434,29.4066,2.3,0.7634,0.3
6097150601,0.06,4411,973.0,0.0221,29.27424,1.13,0.6164,0.3
6013336202,0.04,5720,467.0,0.01,28.51445,0.25,0.8813,0.5
6055202000,0.06,5228,1995.0,0.0178,27.884520000000002,1.87,0.7146,0.3
6095252604,0.06,3652,809.0,0.0153,27.85475,0.65,0.8315,0.5
6095252401,0.06,4855,1247.0,0.0114,27.65545,0.75,0.9143,0.5
6013338101,0.04,5161,893.0,0.0104,26.7317,0.49,0.9562,0.5
6097150603,0.08,7277,1760.0,0.0113,24.729000000000003,1.05,0.7199,0.3
6095250106,0.22,3684,1124.0,0.065,23.935810000000004,3.84,0.1454,0.1
6013321101,0.08,6498,2078.0,0.0122,23.80053,1.34,0.2286,0.3
6097151310,0.06,6959,1017.0,0.0114,23.702789999999997,0.61,0.4719,0.3
6095252707,0.06,5044,1826.0,0.0152,23.0205,1.46,0.6261,0.3
6095252102,0.1,3992,1840.0,0.0188,22.503780000000003,1.82,0.4489,0.3
6013359202,0.12,6130,2230.0,0.0121,22.24158,1.42,0.4822,0.3
6095252305,0.1,6084,1953.0,0.0121,22.02024,1.24,0.2454,0.3
6095252607,0.06,3836,760.0,0.0113,21.62705,0.45,0.9649,0.5
6097151309,0.08,6361,1909.0,0.011,21.063509999999997,1.11,0.3513,0.3
6095252105,0.12,3204,1014.0,0.0657,21.04168,3.51,0.1131,0.1
6013359104,0.1,2116,306.0,0.0327,20.78952,0.53,0.3711,0.3
