GEOID,max_intensity,population,Total_Num_Building,risk_level,BHI_factor_low,shelter_seeking_low
06013359102,0.1,5496,1640.0,low,0.0006,3.2964
06013318000,0.1,3442,1127.0,low,0.0006,2.1126
06013359104,0.1,2116,306.0,low,0.0017,3.6502
06095252102,0.1,3992,1840.0,low,0.001,3.9511
06013316000,0.1,1605,252.0,low,0.0024,3.8041
06095252106,0.1,4122,1169.0,low,0.0017,7.0698
06013359103,0.1,5269,1594.0,low,0.0006,3.1759
06095252108,0.1,3067,1003.0,low,0.0006,1.8399
06013364002,0.08,5868,1733.0,low,0.0001,0.5554
06013315000,0.08,3434,1800.0,low,0.0001,0.4076
06097150612,0.08,4449,2426.0,low,0.0002,0.7118
06013317000,0.08,2078,763.0,low,0.0006,1.295
06013321101,0.08,6498,2078.0,low,0.0006,4.1766
06013363000,0.08,7612,2456.0,low,0.0001,0.7623
06055201800,0.08,1781,1361.0,low,0.0,0.0724
06013320001,0.08,3626,1619.0,low,0.0006,2.3535
06055201900,0.08,1138,1223.0,low,0.0,0.0128
06097150602,0.08,4347,1237.0,low,0.0008,3.3091
06097150603,0.08,7277,1760.0,low,0.0006,4.3388
06097150607,0.08,5157,1981.0,low,0.0007,3.3917
06013321103,0.08,4779,1685.0,low,0.0001,0.4548
06097150611,0.08,4180,903.0,low,0.0006,2.4699
06095252107,0.08,3535,1098.0,low,0.0006,2.0533
06097151309,0.08,6361,1909.0,low,0.0006,3.6955
06095252402,0.08,5419,1512.0,low,0.0009,4.7679
06041990100,0.08,0,0.0,low,,
06097150701,0.06,4744,1516.0,low,0.0001,0.6637
06013320003,0.06,2801,725.0,low,0.0006,1.6575
06013314200,0.06,7168,1886.0,low,0.0007,5.0318
06041101100,0.06,2682,1366.0,low,0.0,0.0085
06041101200,0.06,2924,1140.0,low,0.0,0.0398
06041104300,0.06,1564,749.0,low,0.0001,0.1606
06041106001,0.06,5004,861.0,low,0.0001,0.2672
06097152502,0.06,3498,1227.0,low,0.0028,9.6273
06013320004,0.06,7038,1726.0,low,0.0001,0.7077
06097152501,0.06,4396,1147.0,low,0.0006,2.6029
06013321102,0.06,6826,2158.0,low,0.0001,0.7851
06013321200,0.06,5589,1227.0,low,0.0001,0.7928
06013322000,0.06,6528,2214.0,low,0.0001,0.8147
06097153501,0.06,4505,3399.0,low,0.0,0.0319
06097154100,0.06,3399,3328.0,low,0.0,0.0007
06097150609,0.06,4988,1465.0,low,0.0026,13.0145
06097150702,0.06,5187,2034.0,low,0.0,0.0174
06097150800,0.06,4941,1896.0,low,0.0,0.0159
06097150901,0.06,5104,1364.0,low,0.0001,0.5614
06097150902,0.06,3406,1391.0,low,0.0001,0.3778
06097150601,0.06,4411,973.0,low,0.0012,5.1421
06097151000,0.06,3359,2788.0,low,0.0002,0.5877
06097151100,0.06,4855,4194.0,low,0.0,0.0782
06097151203,0.06,5269,1395.0,low,0.0006,3.1108
06097151204,0.06,3651,1165.0,low,0.0004,1.3114
06097151301,0.06,4467,908.0,low,0.0012,5.4943
06097150610,0.06,3956,975.0,low,0.0006,2.2586
06097151305,0.06,5533,842.0,low,0.0006,3.5182
06097151306,0.06,3795,821.0,low,0.0027,10.1135
06095253108,0.06,4353,1199.0,low,0.0005,2.0145
06095253101,0.06,5302,1911.0,low,0.0001,0.5797
06013365003,0.06,5215,800.0,low,0.0001,0.5993
06097151307,0.06,5218,1544.0,low,0.0007,3.4573
06097151308,0.06,4870,1483.0,low,0.0021,10.2052
06013361000,0.06,4763,1427.0,low,0.0,0.01
06013360200,0.06,5094,1551.0,low,0.0003,1.7622
06097151310,0.06,6959,1017.0,low,0.0006,4.1588
06097151311,0.06,6792,1410.0,low,0.0008,5.7127
06097151504,0.06,3705,1226.0,low,0.0002,0.5591
06097151800,0.06,5056,2007.0,low,0.0001,0.5036
06013347000,0.06,6230,2390.0,low,0.0,0.0118
06095252707,0.06,5044,1826.0,low,0.0008,4.0389
06095252705,0.06,6144,1916.0,low,0.0001,0.8835
06095252703,0.06,4263,1065.0,low,0.0008,3.2989
06095252611,0.06,3607,659.0,low,0.0006,2.1188
06095252610,0.06,3317,1031.0,low,0.0006,1.88
06095252608,0.06,4190,822.0,low,0.0007,2.9701
06095252607,0.06,3836,760.0,low,0.0006,2.2766
06095252606,0.06,5423,1159.0,low,0.0007,3.7477
06095252605,0.06,5985,1167.0,low,0.0022,12.9519
06055202000,0.06,5228,1995.0,low,0.0009,4.8923
06095252604,0.06,3652,809.0,low,0.0008,2.9339
06095252502,0.06,1896,567.0,low,0.0008,1.4669
06095252501,0.06,2870,794.0,low,0.0006,1.7577
06095252401,0.06,4855,1247.0,low,0.0006,2.9114
06095252317,0.06,11656,2388.0,low,0.0001,1.622
06095252316,0.06,3622,1114.0,low,0.0006,2.1122
06095252315,0.06,4283,1337.0,low,0.0001,0.393
06095252314,0.06,4599,1336.0,low,0.0006,2.6532
06095252313,0.06,5887,1522.0,low,0.0002,1.2265
06095252312,0.06,3443,946.0,low,0.0019,6.4793
06095252311,0.06,4623,1379.0,low,0.0001,0.4381
06095252306,0.06,3523,1189.0,low,0.0006,2.0661
06095252706,0.06,4182,1442.0,low,0.0001,0.3701
06095252704,0.06,5325,1306.0,low,0.0006,3.161
06095252903,0.06,4475,3228.0,low,0.0,0.0257
06013328000,0.04,2411,271.0,low,0.0,0.0162
06041102100,0.04,2251,779.0,low,0.0,0.0085
06097153006,0.04,7343,2261.0,low,0.0,0.2967
06013346102,0.04,5748,2307.0,low,0.0,0.0164
06013345204,0.04,3669,1458.0,low,0.0,0.0077
06013340001,0.04,6419,1867.0,low,0.0001,0.7022
06013338204,0.04,6234,993.0,low,0.0,0.0125
06013338203,0.04,5379,782.0,low,0.0001,0.6036
06013338201,0.04,3814,1438.0,low,0.0,0.0094
06013338102,0.04,3498,1195.0,low,0.0,0.0063
06013338101,0.04,5161,893.0,low,0.0005,2.814
06033001200,0.04,3414,2677.0,low,0.0,0.0043
06097153102,0.04,5566,1066.0,low,0.0001,0.5344
06013336202,0.04,5720,467.0,low,0.0005,3.0017
06013336201,0.04,4062,965.0,low,0.0003,1.2838
06097153005,0.04,6614,3052.0,low,0.0,0.1078
06041102202,0.04,6003,1768.0,low,0.0,0.012
06097153104,0.04,4093,954.0,low,0.0005,2.0231
06041102203,0.04,5174,1176.0,low,0.0,0.059
06081984300,0.04,0,143.0,low,0.0002,0.0
06041133000,0.04,3215,3259.0,low,0.0,0.0249
06041132200,0.04,1824,1386.0,low,0.0,0.0002
06041121200,0.04,6478,1701.0,low,0.0,0.1401
06041121100,0.04,5799,1950.0,low,0.0,0.015
06041119202,0.04,3567,1271.0,low,0.0,0.0063
06041119201,0.04,3644,393.0,low,0.0,0.0109
06041112202,0.04,4445,680.0,low,0.0,0.0169
06041108100,0.04,6692,2229.0,low,0.0,0.0275
06041107000,0.04,6306,2166.0,low,0.0,0.0122
06041106002,0.04,5666,1782.0,low,0.0,0.0473
06081990100,0.04,0,0.0,low,,
06041104200,0.04,5733,1584.0,low,0.0,0.0124
06041104102,0.04,5321,944.0,low,0.0001,0.5329
06041103200,0.04,6720,1865.0,low,0.0,0.021
06041103100,0.04,7376,2981.0,low,0.0,0.0251
06097153103,0.04,4860,1108.0,low,0.0001,0.4661
06013326000,0.04,3508,1345.0,low,0.0001,0.3234
06013369002,0.04,2839,896.0,low,0.0,0.0281
06013369001,0.04,6771,1034.0,low,0.0001,0.3761
06013368002,0.04,4148,818.0,low,0.0,0.0396
06013367200,0.04,5754,1197.0,low,0.0001,0.5755
06013367100,0.04,5941,1466.0,low,0.0001,0.8859
06013366002,0.04,6525,1368.0,low,0.0001,0.6404
06013366001,0.04,4594,1139.0,low,0.0001,0.4397
06013365002,0.04,6085,1656.0,low,0.0,0.0163
06013309000,0.04,3699,852.0,low,0.0,0.0086
06013310000,0.04,6106,1353.0,low,0.0,0.0225
06013311000,0.04,5668,1171.0,low,0.0,0.0109
06067009800,0.04,2183,1128.0,low,0.0001,0.1489
06013314102,0.04,6812,1672.0,low,0.0001,0.3807
06013314103,0.04,5513,1074.0,low,0.0002,1.244
06013323000,0.04,4622,1563.0,low,0.0001,0.4486
06013324002,0.04,5519,992.0,low,0.0001,0.6328
06013325000,0.04,5733,1936.0,low,0.0001,0.5764
06013378000,0.04,3892,2310.0,low,0.0,0.0129
06097154000,0.04,2235,2299.0,low,0.0,0.0009
06097153903,0.04,3588,1616.0,low,0.0001,0.3595
06013334200,0.04,7194,2272.0,low,0.0,0.0155
06097153403,0.04,4010,2120.0,low,0.0004,1.6331
06097153404,0.04,4094,2020.0,low,0.0,0.023
06097153502,0.04,3720,2616.0,low,0.0,0.0555
06013336101,0.04,4808,395.0,low,0.0,0.0141
06013335000,0.04,3463,1257.0,low,0.0,0.0127
06097153804,0.04,3231,869.0,low,0.0001,0.3011
06097153806,0.04,2686,802.0,low,0.0001,0.2504
06097153902,0.04,4436,1553.0,low,0.0002,1.0179
06013331000,0.04,7337,2329.0,low,0.0,0.0765
06097153002,0.04,6578,1572.0,low,0.0003,1.8519
06013330000,0.04,5587,1744.0,low,0.0,0.0106
06013329000,0.04,6579,1946.0,low,0.0001,0.6481
06097153807,0.04,3957,1585.0,low,0.0,0.0178
06097153808,0.04,4313,1096.0,low,0.0,0.1995
06097153809,0.04,4510,1372.0,low,0.0,0.1582
06097153003,0.04,5834,1302.0,low,0.0005,3.1729
06081602300,0.04,4238,1867.0,low,0.0,0.0234
06097153001,0.04,7397,1363.0,low,0.0,0.0385
06081608100,0.04,3645,767.0,low,0.0,0.0072
06095252913,0.04,4998,1629.0,low,0.0001,0.4487
06095252912,0.04,5612,1850.0,low,0.0,0.0112
06081607600,0.04,4269,1156.0,low,0.0,0.0108
06081607701,0.04,3998,1052.0,low,0.0001,0.3852
06095252911,0.04,5070,1684.0,low,0.0,0.1006
06081607702,0.04,2893,846.0,low,0.0001,0.2666
06081607800,0.04,3198,1064.0,low,0.0001,0.3167
06081607900,0.04,3518,359.0,low,0.0001,0.3803
06095252910,0.04,5788,1687.0,low,0.0001,0.5433
06081608200,0.04,3749,937.0,low,0.0,0.0073
06081605100,0.04,3339,1149.0,low,0.0001,0.4781
06095252909,0.04,4421,1184.0,low,0.0,0.0384
06081605800,0.04,2621,1010.0,low,0.0,0.0109
06081600100,0.04,5474,1676.0,low,0.0,0.0437
06081605600,0.04,5832,2470.0,low,0.0,0.0112
06081608400,0.04,5664,738.0,low,0.0,0.0148
06081605400,0.04,6364,1862.0,low,0.0001,0.6758
06081605300,0.04,5022,1537.0,low,0.0,0.0211
06081605200,0.04,3816,1349.0,low,0.0,0.0077
06097151900,0.04,2921,931.0,low,0.0001,0.299
06095252914,0.04,5592,1545.0,low,0.0001,0.5117
06081607500,0.04,6613,893.0,low,0.0,0.0184
06113011500,0.04,5709,3539.0,low,0.0,0.1189
06095253300,0.04,2527,2793.0,low,0.0,0.0289
06095253206,0.04,3688,1261.0,low,0.0,0.0067
