CENSUSCODE,OTHER_OTHER,OTHER_SINGLE FAMILY,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
22071005604,58,0,94,5,757
22071006000,137,0,51,4,22
22071006300,57,0,272,20,109
22071006400,70,0,425,40,215
22071006500,120,0,436,33,214
22071006900,100,0,49,107,10
22071007000,234,0,36,2,48
22071007101,133,0,122,15,60
22071007200,219,0,223,17,133
22071007501,81,0,240,28,650
22071007502,74,0,368,31,565
22071007604,112,0,29,13,798
22071007605,49,0,173,22,205
22071007607,62,0,251,22,722
22071007608,107,0,94,17,275
22071007700,166,0,84,4,41
22071007800,54,0,120,36,72
22071008200,61,0,117,22,59
22071008300,42,0,133,26,165
22071008400,49,0,111,13,59
22071008500,87,0,194,18,89
22071008600,101,0,155,13,91
22071008800,24,0,261,20,184
22071009000,45,0,125,35,359
22071009100,49,0,243,40,145
22071009200,79,0,184,20,127
22071009400,124,0,189,13,161
22071009600,61,0,180,26,190
22071009700,72,0,151,13,218
22071009900,166,0,333,30,314
22071010000,78,0,220,25,152
22071010100,35,0,240,32,232
22071010200,70,0,280,7,190
22071010300,53,0,318,146,279
22071010600,43,0,200,32,233
22071010700,55,0,216,43,275
22071010800,34,0,147,23,327
22071010900,64,0,422,12,445
22071011100,82,0,278,12,238
22071011200,7,0,204,3,283
22071011400,54,0,237,18,450
22071011500,39,0,169,41,326
22071011600,34,0,112,25,377
22071011700,30,0,186,74,772
22071011900,11,0,217,31,313
22071012000,127,0,93,18,366
22071012101,49,0,262,15,319
22071012102,163,0,112,15,194
22071012200,22,0,209,9,571
22071012300,25,0,317,4,351
22071012400,26,0,194,9,391
22071012500,46,0,167,63,309
22071012600,85,0,214,78,322
22071012700,22,0,370,22,375
22071012800,33,0,283,8,358
22071012900,150,0,171,37,299
22071013000,41,0,252,16,277
22071013100,34,0,203,15,349
22071013200,115,0,373,21,461
22071013301,56,0,58,44,1460
22071013302,222,0,0,3,779
22071013400,339,0,30,21,5
22071013501,97,0,130,66,59
22071013502,110,0,21,17,8
22071013600,61,0,168,27,179
22071013701,187,0,51,34,475
22071013702,240,0,16,124,66
22071013800,160,0,129,50,227
22071013900,143,0,94,43,26
22071014000,139,0,94,44,84
22071014101,118,0,65,44,64
22071014102,45,0,37,27,21
22071014200,129,0,245,18,259
22071014300,180,0,132,28,89
22071014400,165,0,248,20,221
22071014500,13,0,0,17,2
22071980000,194,0,0,9,0
22071980100,140,0,0,6,0
22071990000,4,0,0,0,0
22073000100,224,0,312,6,1249
22073000200,115,0,375,1,1789
22073000401,158,0,100,0,329
22073000402,100,0,162,1,359
22073000500,176,0,234,171,632
22073000600,257,0,544,28,553
22073000700,143,0,255,15,266
22073000900,62,0,183,3,148
22073001100,214,0,353,25,536
22073001400,165,0,302,9,339
22073001500,73,0,187,6,249
22073001700,472,0,353,2,800
22073005100,193,0,113,71,809
22073005201,151,0,32,93,1520
22073005203,139,0,58,31,1003
22073005204,162,0,37,192,2224
22073005303,194,0,26,174,893
22073005304,335,0,104,236,1376
22073005305,253,0,136,160,631
22073005306,108,0,59,48,919
22073005400,126,0,97,36,717
22073005500,435,0,188,38,860
22073005800,796,0,56,252,838
22073005900,383,0,16,462,732
22073010101,271,0,74,303,1319
22073010103,161,0,125,138,894
22073010104,327,0,119,115,773
22073010202,427,0,257,139,2552
22073010203,70,0,214,6,282
22073010204,104,0,267,2,836
22073010301,77,0,177,2,1052
22073010302,594,0,181,103,1222
22073010401,642,0,11,757,2036
22073010402,824,0,58,1042,2103
22073010502,521,0,15,772,1896
22073010503,298,0,2,532,683
22073010505,477,0,37,731,2108
22073010506,365,0,13,666,1251
22073010604,309,0,31,262,736
22073010605,279,0,228,93,712
22073010606,367,0,72,126,338
22073010700,128,0,328,8,333
22073010800,622,0,399,8,320
22073010900,188,0,565,26,726
22073011000,252,0,325,68,1073
22073011100,433,0,234,49,869
22073980000,82,0,0,0,0
22075050100,1374,0,18,147,556
22075050201,528,0,37,128,1609
22075050202,836,0,138,39,1507
22075050300,1083,0,102,99,647
22075050400,1274,0,234,306,1154
22075050500,409,0,3,300,150
22075050600,566,0,4,241,187
22075050700,470,0,5,328,223
22075050800,1230,0,36,288,207
22075990000,75,0,0,0,0
22077951900,702,0,6,290,1985
22077952000,1117,0,0,314,1183
22077952100,1079,0,11,373,2572
22077952201,291,0,0,140,591
22077952202,1211,0,4,645,1108
22077952300,284,0,42,15,575
22077952400,1140,0,7,587,2088
22079010101,415,0,6,277,1933
22079010102,852,0,12,889,2372
22079010300,336,0,14,652,1666
22079010400,258,0,0,136,1269
22079010501,373,0,30,155,958
22079010502,716,0,57,291,1078
22079010600,1119,0,1,759,1525
22079010701,694,0,45,291,1098
22079010702,263,0,0,191,878
22079011000,114,0,16,4,752
22079011300,458,0,4,212,989
22079011501,235,0,12,56,1360
22079011502,313,0,63,53,1107
22079011600,146,0,15,5,842
22079011700,399,0,32,42,611
22079012000,210,0,0,17,564
22079012100,173,0,7,8,1051
22079012200,170,0,68,7,1336
22079012301,126,0,56,26,2028
22079012302,158,0,51,2,1373
22079012400,244,0,74,3,1463
22079012500,283,0,37,72,2167
22079012600,192,0,11,7,826
22079012700,330,0,94,109,781
22079012800,193,0,3,35,410
22079012900,195,0,26,19,690
22079013000,129,0,0,29,880
22079013100,243,0,11,190,828
22079013201,481,0,25,549,2730
22079013202,360,0,0,308,1177
22079013300,1365,0,21,524,2673
22079013400,707,0,35,279,1614
22079013501,1210,0,0,930,1695
22079013502,676,0,29,555,997
22079013600,780,0,0,585,1112
22079013700,745,0,25,360,1603
22079013800,708,0,58,97,1157
22079013900,495,0,3,59,793
22079980000,123,0,0,0,0
22081960100,1922,0,0,902,2128
22081960300,861,0,87,256,1259
22083970100,633,0,50,58,934
22083970200,846,0,0,292,820
22083970300,903,0,2,387,1380
22083970400,688,0,8,280,1061
22083970500,985,0,77,149,1389
22083970600,1356,0,7,508,1673
22085000100,740,0,9,601,1437
22085000201,692,0,0,539,645
22085000202,710,0,0,419,741
22085000300,445,0,1,245,454
22085000400,1144,0,6,881,2232
22085000500,670,0,62,194,916
22085000600,1032,0,30,626,2211
22085000701,899,0,1,1128,1148
22085000702,794,0,0,553,938
22087030103,343,0,1,141,1446
22087030104,353,0,0,156,708
22087030105,869,0,0,45,283
22087030203,453,0,21,8,987
22087030204,407,0,13,25,1003
22087030206,78,0,0,1,792
22087030207,81,0,42,1,1333
22087030208,152,0,0,0,709
22087030209,204,0,27,5,801
22087030300,136,0,20,2,618
22087030400,451,0,4,7,656
22087030500,91,0,5,1,723
22087030601,130,0,5,1,380
22087030602,219,0,21,5,993
22087030603,27,0,1,0,309
22087030700,157,0,6,9,739
22087030800,263,0,32,4,1328
22087990000,10,0,0,0,0
22089060100,227,0,0,100,775
22089062100,684,0,49,101,1437
22089062200,800,0,0,23,727
22089062301,113,0,18,3,1935
22089062302,258,0,3,21,1544
22089062400,969,0,0,62,387
22089062500,512,0,0,42,981
22089062700,1446,0,0,79,1300
22089062800,467,0,1,259,1746
22089062900,491,0,4,26,985
22089063000,232,0,1,54,528
22089063100,194,0,6,31,2848
22089063200,918,0,4,290,1928
22091951100,3312,0,0,152,69
22091951201,3336,0,0,91,19
22091951202,2217,0,10,41,11
22093040100,348,0,19,285,1215
22093040200,204,1,34,256,1157
22093040300,221,46,14,266,1667
22093040400,1055,15,34,217,872
22093040500,673,7,5,225,794
22093040600,298,9,13,281,920
22093040700,252,9,4,345,1609
22095070100,253,0,0,142,1163
22095070200,133,0,3,399,2001
22095070300,94,0,19,339,1877
22095070400,114,0,6,162,1336
22095070500,246,0,0,549,1679
22095070600,408,0,0,302,937
22095070700,917,0,0,514,1261
22095070800,299,0,0,219,592
22095070900,309,0,5,301,795
22095071000,349,0,1,343,977
22095071100,540,0,3,616,920
22097960100,1056,0,7,293,734
22097960200,1364,0,55,442,1907
22097960300,1354,0,27,530,1114
22097960400,1451,0,3,396,659
22097960500,1343,0,3,644,1897
22097960601,1141,0,13,588,1737
22097960602,586,0,9,281,635
22097960701,594,0,11,461,896
22097960702,910,0,12,576,1384
22097960800,1152,0,9,346,1548
22097960901,484,0,6,24,378
22097960902,437,0,42,28,378
22097961000,543,0,4,29,347
22097961100,694,0,25,56,709
22097961200,1284,0,9,997,1937
22097961301,524,0,31,79,326
22097961302,895,0,23,190,401
22097961401,491,0,4,54,418
22097961402,424,0,12,32,218
22097961501,400,0,45,104,166
22097961502,576,0,15,20,908
22097961601,684,0,34,124,333
22097961602,355,0,24,96,245
22097961701,941,0,38,387,1613
22097961702,670,0,22,477,1024
22097961801,1415,0,16,860,2203
22097961802,552,0,7,537,673
22097961900,926,0,30,191,1011
22099020101,992,0,16,471,1421
22099020102,646,0,5,163,891
22099020201,895,0,13,679,2531
22099020202,208,0,5,299,539
22099020301,495,0,26,564,1833
22099020303,706,0,22,647,2002
22099020304,420,0,14,359,1051
22099020401,736,0,44,502,1711
22099020402,239,0,5,198,607
22099020502,434,0,79,146,1363
22099020503,451,0,8,126,1003
22099020504,351,0,25,221,893
22099020601,893,0,11,246,1232
22099020602,441,0,24,134,1091
22099020800,441,0,7,248,1391
22099020900,255,0,4,110,813
22099021000,888,0,0,221,636
22101040100,1284,0,1,73,523
22101040200,579,0,0,24,1462
22101040300,899,0,0,18,782
22101040400,491,0,0,22,1195
22101040500,826,0,0,41,1329
22101040600,687,0,0,54,1341
22101040700,474,0,0,40,1107
22101040800,731,0,0,46,1575
22101040900,1020,0,0,104,1227
22101041000,1086,0,29,75,1725
22101041100,741,0,8,45,1068
22101041200,416,0,0,15,634
22101041300,290,0,2,29,689
22101041400,691,0,0,48,1102
22101041500,272,0,0,9,693
22101041600,313,0,6,60,507
22101990000,1,0,0,0,0
22103040103,2586,0,0,12,1139
22103040105,601,0,1,29,2343
22103040106,1244,0,0,505,708
22103040107,1004,0,0,8,1593
22103040108,1073,0,0,173,768
22103040203,1780,0,0,10,1187
22103040204,749,0,0,79,2025
22103040205,1546,0,0,9,1302
22103040206,1320,0,0,3,1023
22103040304,182,0,143,10,2433
22103040306,182,0,78,11,1284
22103040307,110,0,42,4,1192
22103040308,314,0,7,8,2941
22103040309,90,0,0,25,4022
22103040401,226,0,19,10,2934
22103040402,72,0,5,2,1165
22103040501,458,0,14,10,1293
22103040502,558,0,0,22,1484
22103040601,41,0,0,57,1422
22103040602,151,0,2,0,1240
22103040606,146,0,7,17,1616
22103040607,186,0,108,8,1419
22103040608,295,0,9,11,1111
22103040609,170,0,9,12,1495
22103040705,511,0,28,166,1661
22103040706,361,0,0,202,1877
22103040708,254,0,0,39,2144
22103040709,121,0,0,42,1461
22103040710,126,0,29,31,1960
22103040711,384,0,3,27,693
22103040712,733,0,6,105,1930
22103040713,758,0,3,131,1431
22103040714,682,0,0,92,473
22103040801,1349,0,0,58,176
22103040804,34,0,1,31,1009
22103040805,94,0,8,64,1448
22103040806,104,0,9,33,1983
22103040807,807,0,0,65,1349
22103040900,1138,0,27,106,79
22103041002,1064,0,5,62,102
22103041003,1075,0,0,313,552
22103041004,1464,0,0,23,204
22103041101,272,0,0,44,1620
22103041103,718,0,0,140,727
22103041104,940,0,0,51,311
22103041105,903,0,0,59,1198
22103041106,192,0,0,31,533
22103041202,508,0,0,63,1186
22103041207,164,0,15,10,1479
22103041208,18,0,0,3,1516
22103041209,109,0,15,16,1683
22103041210,74,0,0,14,1080
22103041211,299,0,0,18,2160
22103041212,140,0,1,21,1233
22103041213,1014,0,26,93,2195
22103041214,347,0,0,59,1451
22103041301,74,0,11,3,1593
22103041302,87,0,87,0,1134
22103990000,20,0,0,0,0
22105953200,745,0,6,57,1217
22105953300,877,0,80,48,1662
22105953401,608,0,19,2,1250
22105953402,339,0,102,13,763
22105953501,1211,0,4,6,1948
22105953502,921,0,9,0,2038
22105953601,404,0,41,7,686
22105953602,638,0,46,3,1233
22105953701,721,0,26,6,2989
22105953702,1135,0,104,2,3540
22105953800,740,0,55,2,2273
22105953901,455,0,232,11,1344
22105953902,344,0,172,6,1680
22105954001,351,0,121,3,1018
22105954003,507,0,57,0,1321
22105954004,331,0,74,0,1262
22105954103,396,0,120,7,1473
22105954104,330,0,68,1,520
22105954105,523,0,60,33,1825
22105954106,420,0,74,6,2167
22105954200,283,0,158,3,817
22105954300,487,0,125,4,889
22105954400,238,0,176,1,929
22105954503,621,0,254,129,735
22105954504,346,0,44,4,949
22105954505,522,0,98,6,2069
22105954506,127,0,77,1,502
22105954601,734,0,69,20,3426
22105954602,670,0,19,9,3371
22105954700,479,0,78,13,2040
22105954800,664,0,66,3,2612
22107000100,748,0,7,219,1719
22107000200,527,0,0,49,1130
22107000300,482,0,18,97,1054
22109000103,977,0,32,257,930
22109000104,460,0,175,202,359
22109000105,104,0,4,68,387
22109000106,329,0,5,293,928
22109000201,274,0,16,341,853
22109000203,274,0,72,174,1206
22109000204,480,0,10,181,581
22109000300,392,0,40,241,1035
22109000401,457,0,65,175,911
22109000402,103,0,43,45,1105
22109000501,331,0,2,88,662
22109000502,629,0,26,125,844
22109000601,713,0,29,262,597
22109000602,482,0,21,95,831
22109000701,293,0,9,76,862
22109000702,541,0,38,87,738
22109000800,426,0,51,206,1879
22109000901,305,0,51,75,1089
22109000902,276,0,22,16,645
22109001001,431,0,211,264,499
22109001002,409,0,44,524,1410
22109001100,535,0,74,468,1062
22109001201,205,0,3,194,810
22109001202,1210,0,7,467,1563
22109001301,110,0,0,640,176
22109001302,185,0,1,104,501
22109001303,1269,0,11,246,1010
22109001400,1227,0,9,355,1182
22109001501,54,0,0,25,796
22109001502,561,0,1,151,1840
22109001600,517,0,3,338,1270
22109001701,271,0,1,86,826
22109001702,710,0,82,62,1564
22109001703,239,0,34,12,1713
22109990000,8,0,0,0,0
22111960100,3459,0,24,114,265
22111960200,2686,0,2,228,282
22111960300,2575,0,2,102,271
22111960400,1865,0,29,66,76
22111960500,3580,0,0,217,260
22111960600,3392,0,0,104,139
22113950101,1765,0,14,138,699
22113950102,1248,0,8,71,770
22113950103,1770,0,15,240,900
22113950201,1517,0,31,89,799
22113950202,1513,0,33,98,824
22113950400,1285,0,78,137,1483
22113950500,2718,0,11,291,1774
22113950600,1043,0,35,71,939
22113950700,1068,0,11,100,938
22113950800,987,0,30,167,1104
22113950901,1293,0,2,78,790
22113950903,956,0,0,67,569
22113950904,1646,0,19,400,1498
22113951001,1666,0,14,199,709
22113951002,2146,0,2,120,604
22113951100,2072,0,61,133,528
22113990000,8,0,0,0,0
22115950100,1326,0,0,734,2786
22115950200,1098,0,3,706,2407
22115950301,769,0,0,456,1370
22115950302,396,0,0,247,681
22115950400,673,0,28,136,853
22115950501,519,0,13,29,1094
22115950502,274,0,0,62,885
22115950600,731,0,1,242,944
22115950701,1649,0,0,29,60
22115950702,483,0,0,0,0
22115950703,341,0,0,0,0
22115950704,597,0,0,0,0
22115950801,1026,0,2,377,1076
22115950802,369,0,0,336,779
22115950901,534,0,0,474,913
22115950902,904,0,0,365,1810
22117950101,396,0,0,273,1334
22117950102,463,0,0,397,1937
22117950201,364,0,0,450,1568
22117950202,269,0,0,298,1148
22117950300,505,0,0,411,1750
22117950400,486,0,0,619,2079
22117950501,295,0,0,515,1761
22117950502,440,0,0,230,1396
22117950600,498,0,0,509,2526
22117950700,309,0,0,33,2107
22117950800,294,0,2,16,1571
22117950900,268,0,4,9,427
22117951000,299,0,0,122,1553
22119031100,604,0,0,16,1524
22119031200,590,0,18,8,1678
22119031300,458,0,33,33,2244
22119031400,689,0,5,29,1979
22119031501,686,0,4,40,2285
22119031502,948,0,8,86,1324
22119031600,339,0,2,48,1767
22119031700,491,0,57,59,963
22119031800,135,0,18,0,1143
22119031900,356,0,21,13,1002
22119032000,446,0,34,3,1432
22119032101,660,0,10,50,1584
22119032102,725,0,5,49,2657
22121020100,362,0,22,55,1741
22121020200,1063,0,29,401,774
22121020301,237,0,0,592,1310
22121020302,467,0,2,454,1189
22121020401,667,0,35,559,1690
22121020402,799,0,46,358,2267
22123000100,681,0,14,511,2468
22123000200,744,0,5,631,2291
22123000300,600,0,0,356,1320
22125951703,45,0,0,0,3
22125951704,202,0,0,94,644
22125951705,229,0,0,227,660
22125951801,163,0,9,113,807
22125951802,105,0,0,119,514
22125951803,449,0,47,65,1234
22125980000,400,0,0,212,1
22127960100,3698,0,5,39,42
22127960201,2063,0,0,111,51
22127960202,2095,0,0,8,20
22127960300,1575,0,0,25,12
22127960400,1027,0,15,26,7
