,BLDG_TYPE,BUILDINGCO,MEDIANSLIG,MEDIANMODE,MEDIANEXTE,MEDIANCOMP,BETASLIGHT,BETAMODERA,BETAEXTENS,BETACOMPLE,LOOKUP_
56,RM1L,LC,0.16,0.2001,0.29,0.54,0.64,0.64,0.64,0.64,RM1LLC
57,RM1L,PC,0.13,0.16,0.2399,0.43,0.64,0.64,0.64,0.64,RM1LPC
58,RM2H,HC,0.12,0.2399,0.67,1.78,0.64,0.64,0.64,0.64,RM2HHC
59,RM2H,MC,0.12,0.2001,0.48,1.0101,0.64,0.64,0.64,0.64,RM2HMC
60,RM2H,LC,0.11,0.17,0.35,0.62,0.64,0.64,0.64,0.64,RM2HLC
61,RM2H,PC,0.09,0.13,0.27,0.5,0.64,0.64,0.64,0.64,RM2HPC
62,RM2M,HC,0.17,0.33,0.75,1.83,0.64,0.64,0.64,0.64,RM2MHC
63,RM2M,MC,0.16,0.23,0.48,0.99,0.64,0.64,0.64,0.64,RM2MMC
64,RM2M,LC,0.12,0.17,0.34,0.6,0.64,0.64,0.64,0.64,RM2MLC
65,RM2M,PC,0.1,0.14,0.26,0.47,0.64,0.64,0.64,0.64,RM2MPC
66,RM2L,HC,0.26,0.4201,0.87,1.4899,0.64,0.64,0.64,0.64,RM2LHC
67,RM2L,MC,0.14,0.18,0.28,0.51,0.64,0.64,0.64,0.64,RM2LMC
68,RM2L,LC,0.2001,0.28,0.47,0.81,0.64,0.64,0.64,0.64,RM2LLC
69,RM2L,PC,0.12,0.15,0.22,0.41,0.64,0.64,0.64,0.64,RM2LPC
70,S1H,HC,0.1,0.21,0.52,1.31,0.64,0.64,0.64,0.64,S1HHC
71,S1H,MC,0.1,0.18,0.39,0.78,0.64,0.64,0.64,0.64,S1HMC
72,S1H,LC,0.1,0.15,0.28,0.48,0.64,0.64,0.64,0.64,S1HLC
73,S1H,PC,0.08,0.12,0.22,0.38,0.64,0.64,0.64,0.64,S1HPC
74,S1M,HC,0.14,0.26,0.62,1.43,0.64,0.64,0.64,0.64,S1MHC
75,S1M,MC,0.13,0.21,0.44,0.82,0.64,0.64,0.64,0.64,S1MMC
76,S1M,LC,0.12,0.18,0.29,0.49,0.64,0.64,0.64,0.64,S1MLC
77,S1M,PC,0.09,0.14,0.23,0.39,0.64,0.64,0.64,0.64,S1MPC
78,S1L,HC,0.19,0.31,0.6401,1.4899,0.64,0.64,0.64,0.64,S1LHC
79,S1L,MC,0.15,0.22,0.4201,0.8,0.64,0.64,0.64,0.64,S1LMC
80,S1L,LC,0.12,0.17,0.3,0.48,0.64,0.64,0.64,0.64,S1LLC
81,S1L,PC,0.09,0.13,0.22,0.38,0.64,0.64,0.64,0.64,S1LPC
82,S2H,HC,0.11,0.22,0.65,1.6,0.64,0.64,0.64,0.64,S2HHC
83,S2H,MC,0.11,0.19,0.49,1.02,0.64,0.64,0.64,0.64,S2HMC
84,S2H,LC,0.11,0.17,0.36,0.63,0.64,0.64,0.64,0.64,S2HLC
85,S2H,PC,0.09,0.13,0.29,0.5,0.64,0.64,0.64,0.64,S2HPC
86,S2M,HC,0.14,0.27,0.73,1.62,0.64,0.64,0.64,0.64,S2MHC
87,S2M,MC,0.14,0.22,0.53,0.97,0.64,0.64,0.64,0.64,S2MMC
88,S2M,LC,0.12,0.18,0.35,0.58,0.64,0.64,0.64,0.64,S2MLC
89,S2M,PC,0.1,0.14,0.28,0.47,0.64,0.64,0.64,0.64,S2MPC
90,S2L,HC,0.2399,0.41,0.76,1.46,0.64,0.64,0.64,0.64,S2LHC
91,S2L,MC,0.2001,0.26,0.4599,0.84,0.64,0.64,0.64,0.64,S2LMC
92,S2L,LC,0.13,0.17,0.3,0.5,0.64,0.64,0.64,0.64,S2LLC
93,S2L,PC,0.11,0.14,0.23,0.39,0.64,0.64,0.64,0.64,S2LPC
94,S3,HC,0.15,0.26,0.54,1.0,0.64,0.64,0.64,0.64,S3HC
95,S3,MC,0.13,0.19,0.33,0.6,0.64,0.64,0.64,0.64,S3MC
96,S3,LC,0.1,0.13,0.2001,0.38,0.64,0.64,0.64,0.64,S3LC
97,S3,PC,0.08,0.1,0.16,0.3,0.64,0.64,0.64,0.64,S3PC
98,S4H,HC,0.13,0.25,0.69,1.63,0.64,0.64,0.64,0.64,S4HHC
99,S4H,MC,0.12,0.21,0.51,0.97,0.64,0.64,0.64,0.64,S4HMC
100,S4H,LC,0.12,0.17,0.33,0.59,0.64,0.64,0.64,0.64,S4HLC
101,S4H,PC,0.09,0.14,0.27,0.47,0.64,0.64,0.64,0.64,S4HPC
102,S4M,HC,0.16,0.28,0.73,1.56,0.64,0.64,0.64,0.64,S4MHC
103,S4M,MC,0.14,0.22,0.51,0.92,0.64,0.64,0.64,0.64,S4MMC
104,S4M,LC,0.12,0.17,0.31,0.54,0.64,0.64,0.64,0.64,S4MLC
105,S4M,PC,0.09,0.13,0.25,0.43,0.64,0.64,0.64,0.64,S4MPC
106,S4L,HC,0.2399,0.39,0.71,1.33,0.64,0.64,0.64,0.64,S4LHC
107,S4L,MC,0.19,0.26,0.41,0.78,0.64,0.64,0.64,0.64,S4LMC
108,S4L,LC,0.13,0.16,0.26,0.4599,0.64,0.64,0.64,0.64,S4LLC
109,S4L,PC,0.1,0.13,0.2001,0.36,0.64,0.64,0.64,0.64,S4LPC
110,S5H,LC,0.1,0.18,0.35,0.58,0.64,0.64,0.64,0.64,S5HLC
111,S5H,PC,0.08,0.14,0.29,0.4599,0.64,0.64,0.64,0.64,S5HPC
112,S5M,LC,0.11,0.18,0.34,0.53,0.64,0.64,0.64,0.64,S5MLC
113,S5M,PC,0.09,0.14,0.28,0.43,0.64,0.64,0.64,0.64,S5MPC
114,S5L,LC,0.13,0.17,0.28,0.45,0.64,0.64,0.64,0.64,S5LLC
115,S5L,PC,0.11,0.14,0.22,0.37,0.64,0.64,0.64,0.64,S5LPC
116,URMM,LC,0.1,0.16,0.27,0.4599,0.64,0.64,0.64,0.64,URMMLC
117,URMM,PC,0.09,0.13,0.21,0.38,0.64,0.64,0.64,0.64,URMMPC
118,URML,LC,0.14,0.2001,0.32,0.4599,0.64,0.64,0.64,0.64,URMLLC
119,URML,PC,0.13,0.17,0.26,0.37,0.64,0.64,0.64,0.64,URMLPC
120,W1,HC,0.26,0.55,1.28,2.01,0.64,0.64,0.64,0.64,W1HC
121,W1,MC,0.2399,0.43,0.91,1.34,0.64,0.64,0.64,0.64,W1MC
122,W1,LC,0.2001,0.34,0.61,0.95,0.64,0.64,0.64,0.64,W1LC
123,W1,PC,0.18,0.29,0.51,0.77,0.64,0.64,0.64,0.64,W1PC
124,W2,HC,0.26,0.56,1.15,2.08,0.64,0.64,0.64,0.64,W2HC
125,W2,MC,0.2001,0.35,0.6401,1.13,0.64,0.64,0.64,0.64,W2MC
126,W2,LC,0.14,0.23,0.48,0.75,0.64,0.64,0.64,0.64,W2LC
127,W2,PC,0.12,0.19,0.37,0.6,0.64,0.64,0.64,0.64,W2PC
